treatment,el1,index_ctotal_el1,index_foodsecurity_el1,ind_fin_el1,ind_increv_updated_el1,asset_ind_tot_el1,vil_ham
0,1,.044485439,.4986659,1.2933971,-.74482936,-1.3478895,10
0,1,-.53253281,.4986659,-.12097955,-.93945926,-1.4935807,67
1,1,.7206884,1.8486543,-.11302388,1.4544885,-.067270905,97
0,1,,,,,,72
1,1,.2119628,.051149033,-.19179933,-.11228214,-.16989492,5
1,1,1.3238516,.4986659,-.16287293,-1.2314041,-1.0546074,26
0,1,-1.4285837,1.8486543,1.0440557,-.84214431,1.2147586,66
0,1,-.012745127,.4986659,-.053152148,.32563502,.48996463,20
1,1,.73104423,1.8486543,-.0033391705,-.23489898,.2085982,42
1,1,1.2634431,.051149033,-.060645137,.07748197,.15551668,58
1,1,.29099819,1.8486543,.1083405,.34996384,4.6849504,98
0,1,2.6773057,.37808228,.086492464,-.29718056,-.14360115,90
0,1,-.98079121,-.82214814,1.712355,-1.2314041,-1.7432327,15
0,1,1.1480188,1.8486543,-.1927968,-.74482936,-.22677585,109
1,1,-.25186878,.02517264,-.27359119,.16993113,-.65926433,34
0,1,1.5659753,-.1813138,-.22272064,-.98811674,-1.9409043,3
0,1,-.07068526,.4986659,-.15291634,1.2014697,4.1940255,26
1,1,1.8531853,1.8486543,1.6717656,3.887362,6.4179277,4
0,1,-.44271883,.051149033,-.18282217,-.063624665,-1.1130728,64
1,1,.48176113,.098861992,-.030260418,-.11228214,2.2230258,102
1,1,.33223021,.051149033,-.18783353,.22832008,,20
0,1,,,,,,59
1,1,.16183154,.4986659,-.093062647,1.7950909,.4602651,102
0,1,,,,,,118
1,1,-.41397119,.4986659,.03661938,-.50154203,.1406509,31
1,1,-.46192554,-.42234424,-.10801256,-1.2314041,.63639134,17
0,1,,,,,,25
1,1,.18008646,1.8486543,.7647664,.52026492,.23451464,48
1,1,-.14632578,1.8486543,-.17735416,.30130637,.71898824,88
1,1,1.8214858,1.8486543,1.1934947,3.7005174,1.5775572,96
0,1,.26397625,.051149033,-.14792605,.47160745,.24813469,40
1,1,,,,,,57
0,1,-.90716326,.051149033,-.1573869,-1.0270427,-1.5455612,31
0,1,,,,,,33
0,1,.28077507,.4986659,2.1554766,.83167291,-.014111362,85
1,1,-.36356601,.4986659,-.11400934,-.85187578,.10976753,82
0,1,.097735159,.4986659,.3258833,-.59691066,-.85693586,95
0,1,-.87858242,.4986659,-.15291634,-.039295934,.21435276,68
1,1,.24532431,.098861992,-.23568764,-.41395855,-.59331691,9
1,1,7.0898199,2.0655677,.0015940674,-1.1360354,-.57281643,79
1,1,1.3116419,.37808228,-.013277716,-.3555696,.90050292,98
0,1,-.62438101,-.34865487,-.23269525,-.43342149,-.95254648,66
1,1,1.5783315,2.0655677,.16627738,1.2598586,.51770908,103
0,1,,,,,,31
1,1,,,,,,95
0,1,.36172879,.4986659,-.18282217,-.53365588,-1.0546074,75
1,1,1.8059664,.4986659,-.031232031,.95818216,.52478641,98
0,1,-1.1712348,.4986659,.069036908,-1.2314041,-.10236322,51
0,1,.26032808,.4986659,.03661938,-.063624665,-1.7432327,82
0,1,,,,,,95
0,1,-.40985259,1.1390576,-.10801256,-.29718056,,46
1,1,.37646306,.4986659,-.28256834,-.1220137,.94209146,77
1,1,,,,,,95
1,1,2.2796981,2.0655677,-.21175878,.29254806,,98
1,1,-.20720968,.4986659,1.861794,.37137312,-.39564538,34
1,1,.78753,1.8486543,.22114082,-.010101501,.51769966,49
1,1,.90609115,.051149033,-.058145482,-.3555696,-.87756425,77
0,1,-.317828,.4986659,.11638626,-.71563482,-.14019535,116
0,1,-.067407221,.4986659,-.23568764,-.20959717,-.95254648,9
1,1,.9477694,.4986659,.21115115,-1.2314041,-.91685182,98
0,1,-.20885681,.051149033,-.12297449,-.70590335,-1.0462571,27
1,1,.87520045,.4986659,-.22492108,.31590363,.35381001,87
