anonid;took_fall;took_year;tookanother;numeconclass;econmajor;Major;Major_STEM;Major_Business;Major_Finance;Major_Marketing;Major_SocSc;Major_Arts;Major_Comm;Major_Hum;female;greek;econ_hs;varsity;class_fe;class_fe2;yr_2016;treatment_class;treat2016;female_prof;instate;freshman;american;ACumGPA;gradePrinciples;small_class;grade3301;fem2016;femtreat16;female_treat;Testscore3301;top;surveyed;ecojobs_a;ecojobs_b;ecojobs_c;ecojobs_d;ecojobs_e;ecojobs_f;ecojobs_g;ecojobs_h;major_current_a;major_current_b;survey_econmajor
1;0;0;0;0;0;Film & Media Arts - BFA;0;0;0;0;0;1;0;0;0;0;1;0;;31;0;0;0;1;1;1;1;3.43;2.3299999;0;;0;0;0;;0;1;Accounting;Investment banking;Economics professor;;;;;;Film;Finance;0
2;1;1;1;11;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;0;0;1;0;5;5;1;0;0;0;0;0;1;3.09;3;0;3.6700001;0;0;0;.85;0;1;Economist;Lawyer;Teacher;Politician;;;;;Economics with financial applications;;1
3;0;0;0;0;0;Finance - BBA;0;0;1;0;0;0;0;0;0;0;1;0;;30;0;0;0;0;1;1;1;3.666;3;1;;0;0;0;;0;1;Anything you can with business if you market yourself properly;;;;;;;;Business;Economics;1
4;0;0;0;0;0;Mathematics - BS;1;0;0;0;0;0;0;0;1;0;1;0;;30;0;0;0;0;1;0;1;3.267;4;1;;0;0;0;;0;1;Economist;Entrepreneur;Journalist/ Correspondent;Working for marketplace on NPR;Business consultant;;;;Mathematics;;0
5;0;0;0;0;0;Biological Sciences - BS;1;0;0;0;0;0;0;0;1;0;1;0;5;5;0;0;0;0;1;0;1;3.358;3;0;;0;0;0;;0;1;Accountant;Tax advisor;Managerial Position;;;;;;Biology;;0
6;0;0;0;0;0;Psychology - BA;0;0;0;0;1;0;0;0;0;0;1;1;;31;0;0;0;1;1;0;1;2.596;2.3299999;0;;0;0;0;;0;1;Government;;;;;;;;Psychology;;0
7;1;1;1;13;1;Economics w/ Fina Appl - BS;0;0;0;0;0;0;0;0;1;;;;1;1;0;1;0;0;0;1;1;1.775;1.67;0;3.6700001;0;0;1;.4;0;0;;;;;;;;;;;
8;0;0;0;0;0;Mechanical Engineering - BSME;1;0;0;0;0;0;0;0;0;;;;5;5;0;0;0;0;0;0;1;2.872;1.33;0;;0;0;0;;0;0;;;;;;;;;;;
9;0;0;0;0;0;Journalism - BA;0;0;0;0;0;0;0;1;1;1;1;0;;31;0;0;0;1;1;0;1;3.654;3;0;;0;0;0;;0;1;;;;;;;;;Journalism;Communications;0
10;0;0;1;1;0;Markets & Culture - BA;0;0;0;0;1;0;0;0;1;1;1;0;3;3;0;1;0;0;1;0;1;3;3;0;;0;0;1;;0;1;Financial Analyst;Investment Banker;;;;;;;Markets and Culture;Economics;1
